id,latitude,longitude,year,name,sex,bottom_depth,surface_temperature,bottom_temperature,haul,cpue
93622,56.33333,-170.66667,1976,southern Tanner crab,female,117,8.3,3.6,139,25239
93623,56.7,-165.83333,1976,southern Tanner crab,female,75,,,96,50
93624,56.66667,-165.16667,1976,southern Tanner crab,female,73,,,97,115
93625,56.68333,-164.6,1976,southern Tanner crab,female,73,6.1,-0.1,105,9339
71419,56.68333,-164.6,1976,southern Tanner crab,male,73,6.1,-0.1,105,5696
71420,56.68333,-164.01667,1976,southern Tanner crab,male,73,5,-1,63,30044
71421,56.7,-163.38333,1976,southern Tanner crab,male,73,5,-1,64,16714
71422,56.68333,-162.78333,1976,southern Tanner crab,male,70,4.8,-0.6,65,7784
71423,56.68333,-162.18333,1976,southern Tanner crab,male,70,3.5,-1,45,6768
71424,56.66667,-161.6,1976,southern Tanner crab,male,84,3.3,-0.8,44,12708
71425,56.66667,-160.98333,1976,southern Tanner crab,male,66,2.3,0.5,43,10787
71426,56.7,-160.38333,1976,southern Tanner crab,male,60,2.1,1.1,73,1381
71427,56.65,-159.73333,1976,southern Tanner crab,male,31,,,109,121
71428,56.68333,-168.26667,1976,southern Tanner crab,male,104,7.2,1.9,113,3419
71429,56.7,-168.86667,1976,southern Tanner crab,male,99,7,2,112,2278
71430,56.66667,-169.48333,1976,southern Tanner crab,male,77,5.4,1.5,110,14606
71431,56.7,-170.08333,1976,southern Tanner crab,male,95,4.7,2.9,111,10331
71432,56.68333,-170.75,1976,southern Tanner crab,male,112,8.1,3.5,146,7784
71433,56.7,-171.35,1976,southern Tanner crab,male,115,8.6,3.6,141,5387
71434,56.68333,-171.96667,1976,southern Tanner crab,male,123,8.7,3.7,142,4835
71435,56.68333,-172.56667,1976,southern Tanner crab,male,134,8.5,3.6,143,1013
71436,57,-167.66667,1976,southern Tanner crab,male,79,0.2,-1.4,85,847
71437,57,-167.03333,1976,southern Tanner crab,male,75,-0.4,-1.1,86,121
71438,57,-166.43333,1976,southern Tanner crab,male,75,-0.5,-1.6,87,545
93626,56.68333,-164.01667,1976,southern Tanner crab,female,73,5,-1,63,30044
93627,56.7,-163.38333,1976,southern Tanner crab,female,73,5,-1,64,4282
93628,56.68333,-162.78333,1976,southern Tanner crab,female,70,4.8,-0.6,65,4177
93629,56.68333,-162.18333,1976,southern Tanner crab,female,70,3.5,-1,45,4973
93630,56.66667,-161.6,1976,southern Tanner crab,female,84,3.3,-0.8,44,11741
93631,56.66667,-160.98333,1976,southern Tanner crab,female,66,2.3,0.5,43,1215
93632,56.7,-160.38333,1976,southern Tanner crab,female,60,2.1,1.1,73,276
93633,56.7,-168.86667,1976,southern Tanner crab,female,99,7,2,112,10582
93634,56.66667,-169.48333,1976,southern Tanner crab,female,77,5.4,1.5,110,5609
93635,56.7,-170.08333,1976,southern Tanner crab,female,95,4.7,2.9,111,1063
93636,56.68333,-170.75,1976,southern Tanner crab,female,112,8.1,3.5,146,52211
93637,56.7,-171.35,1976,southern Tanner crab,female,115,8.6,3.6,141,8978
93638,56.68333,-171.96667,1976,southern Tanner crab,female,123,8.7,3.7,142,8426
93639,56.68333,-172.56667,1976,southern Tanner crab,female,134,8.5,3.6,143,1140
93640,57,-167.66667,1976,southern Tanner crab,female,79,0.2,-1.4,85,121
93641,57,-167.03333,1976,southern Tanner crab,female,75,-0.4,-1.1,86,242
78268,57.68333,-164.01667,1976,southern Tanner crab,female,48,4.3,2.3,99,127
78267,57.66667,-165.88333,1976,southern Tanner crab,female,60,,,210,136
78266,57.65,-167.7,1976,southern Tanner crab,female,66,,,215,64
78265,57.35,-171.45,1976,southern Tanner crab,female,99,6.7,2.1,119,414
78264,57.35,-170.93333,1976,southern Tanner crab,female,82,6.7,2.3,118,304
78263,57.36667,-169.61667,1976,southern Tanner crab,female,62,4.5,0.1,126,434
78262,57.33333,-168.9,1976,southern Tanner crab,female,73,1.7,,124,64
78261,57.35,-159.66667,1976,southern Tanner crab,female,51,2.2,1.5,75,844
78260,57.35,-160.31667,1976,southern Tanner crab,female,59,1.5,1.2,71,1773
78259,57.35,-160.93333,1976,southern Tanner crab,female,59,1.6,0.6,70,1796
78258,57.35,-161.53333,1976,southern Tanner crab,female,53,,,87,2170
78257,57.33333,-162.15,1976,southern Tanner crab,female,49,4.5,1.9,92,467
77644,57.35,-162.76667,1976,southern Tanner crab,female,48,4.4,2.6,93,553
77643,57.35,-163.36667,1976,southern Tanner crab,female,51,4,0.2,101,304
77642,57.35,-163.98333,1976,southern Tanner crab,female,60,5.7,0.2,102,1211
77641,57.33333,-164.55,1976,southern Tanner crab,female,64,,,162,335
77640,57.4,-166.48333,1976,southern Tanner crab,female,66,,,212,363
77639,57.01667,-172.05,1976,southern Tanner crab,female,113,8.5,3.9,144,506
77638,56.98333,-170.9,1976,southern Tanner crab,female,93,6.5,2.3,117,169
77637,57.01667,-170.15,1976,southern Tanner crab,female,64,4.8,2.5,116,553
77636,56.98333,-169.53333,1976,southern Tanner crab,female,59,6,2,115,760
96024,55.03333,-166.93333,1976,southern Tanner crab,female,152,6.7,4.3,130,12610
96025,55.03333,-166.35,1976,southern Tanner crab,female,139,,,5,15041
96026,55.01667,-165.71667,1976,southern Tanner crab,female,126,,,8,67666
96027,55.01667,-165.15,1976,southern Tanner crab,female,106,7,4.9,185,22618
96028,55.36667,-166.35,1976,southern Tanner crab,female,128,7.7,3.2,106,4559
96029,55.35,-165.76667,1976,southern Tanner crab,female,115,5.4,4,56,4179
96030,55.36667,-165.16667,1976,southern Tanner crab,female,110,6.5,3.5,54,2786
96031,55.31667,-164.61667,1976,southern Tanner crab,female,101,,,19,7245
96032,55.33333,-164,1976,southern Tanner crab,female,73,,,159,2220
